,tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
0,1408881006329929728,CDCGov,"At least 15% of Navajo Nation homes lack in-house running water, making it more difficult for these residents to get enough safe water for activities needed to prevent #COVID19. Read about the Navajo Nation Water Access Project: https://t.co/Ryp7vu5lbi. https://t.co/I9pa4qWabl",06/26/2021 20:13:02,295,71,551,16,True
1,1408527352246767618,CDCGov,Subscribe to get CDC’s COVID Data Tracker Weekly Review sent to your inbox every Friday: https://t.co/m5w5IKMJIv.,06/25/2021 20:47:44,15,6,40,0,False
2,1408527349709148165,CDCGov,"The virus that causes #COVID19 is constantly changing through mutation, leading to new variants. There are multiple variants found around the world and in the U.S. COVID-19 vaccines can help us fight these variants by stopping the spread of COVID-19. More: https://t.co/F4bAyObDp1 https://t.co/1Ninam6s99",06/25/2021 20:47:44,141,80,232,13,True
3,1408519124301590528,CDCGov,"Older adults are more likely to be hospitalized due to #COVID19. As older adults continue to get vaccinated, recent COVID-NET data show COVID-19-associated hospitalization rates for adults 85+ have dropped to the lowest point since March 2020. More: https://t.co/QEgTRevmQ4. https://t.co/d7egU369BU",06/25/2021 20:15:02,43,21,130,2,True
4,1408518303614648326,CDCGov,True! Experts do not yet know how long you are protected from getting sick again after recovering from #COVID19. Get your COVID-19 vaccine as soon as you can. Learn more: https://t.co/mUsXpasZ4S. https://t.co/PhOAoShie5,06/25/2021 20:11:47,169,1550,403,230,True
5,1408510313239097347,CDCGov,"Most people get both #COVID19 vaccine doses from the same location, but you don’t have to. You can get your second shot in a different facility or state. 
 
Bring your vaccination card to your second appointment so you get the correct shot. More: https://t.co/6RIBRCJpZu. https://t.co/kg6eGai2s6",06/25/2021 19:40:02,87,24,165,5,True
6,1408499742317887490,CDCGov,"Agriculture workers continue to be at high risk for #COVID19 due to various factors, including access to transportation, health care, and language barriers. Learn more about health equity strategies to support agriculture workers and others: https://t.co/Ryp7vu5lbi. https://t.co/o1gPmek5SM",06/25/2021 18:58:01,37,27,79,3,True
7,1408462933793853443,CDCGov,"If you’ve already had #COVID19 and recovered, you should still get vaccinated against COVID-19.",06/25/2021 16:31:46,1064,2080,930,1168,True
8,1408442861692108801,CDCGov,"New @CDCMMWR finds 53% of surveyed state, tribal, territorial, and local public health department workers who worked during the #COVID19 pandemic reported #mentalhealth symptoms of depression, anxiety, or PTSD. More: https://t.co/9BUIDzD0q6. https://t.co/SHaDXQFg4b",06/25/2021 15:12:00,47,8,91,6,True
9,1408164421902508033,CDCGov,"As of June 21, national forecasts predict 1,000–3,800 new #COVID19 hospitalizations will likely be reported on July 19. More: https://t.co/Xys80ZGlxV. https://t.co/pCV9xlZ38F",06/24/2021 20:45:35,19,16,45,1,True
10,1408164418693779460,CDCGov,"As of June 21, national forecasts predict 500–2,900 new #COVID19 deaths will be reported during the week ending July 17. That would bring the projected total number of U.S. deaths to 606,000–612,000. More: https://t.co/rcqjOX3Ypl. https://t.co/BaZd7ba3DH",06/24/2021 20:45:34,22,5,50,4,True
11,1408164415585894403,CDCGov,"As of June 21, national forecasts predict 13,000–159,000 new #COVID19 cases will likely be reported during the week ending July 17. More: https://t.co/7AP4I3S9PU. https://t.co/UKKPJSmTq4",06/24/2021 20:45:33,57,36,109,10,True
12,1408145438998470657,CDCGov,"#COVID19 vaccines are effective at keeping you from getting COVID-19. If you are fully vaccinated, you can resume activities that you did prior to the pandemic. If you have questions about the vaccines, check out the COVID-19 Vaccine #FAQ page: https://t.co/y15Q6eYjVI. https://t.co/mSfLn1qgCw",06/24/2021 19:30:09,103,88,218,8,True
13,1408121755479195653,CDCGov,"Need a #COVID19 test? CDC’s new COVID-19 Viral Testing Tool can help you:

✔️ Know what kind of test you need
✔️ Understand next steps based on your test result

Learn more: https://t.co/NIySuYW72m. https://t.co/gG7xNQ1BVK",06/24/2021 17:56:02,43,18,80,6,True
14,1408110184996741123,CDCGov,New @CDCMMWR shows that workplace investigations of #COVID19 outbreaks can help identify employee cases and contacts. Employees are encouraged to participate in workplace investigations to help slow the spread of COVID-19. Learn more: https://t.co/Tek4P5yU5Z. https://t.co/NbutEafNVv,06/24/2021 17:10:04,30,14,68,1,True
15,1408100135058427909,CDCGov,"If you’re fully vaccinated and have been exposed to someone with known or suspected #COVID19, you don’t need to get tested or quarantine as long as you don’t develop symptoms.  
 
More guidance for fully vaccinated people: https://t.co/R5PvHlqx3P. https://t.co/iceXitQbp9",06/24/2021 16:30:08,393,206,750,107,True
16,1408088777621336065,CDCGov,"#Parents: 3 things about v-safe:
1️⃣ V-safe helps you report side effects from a #COVID19 vaccine &amp; sends reminders if a 2nd dose is needed
2️⃣ You can enroll your children age 12 &amp; up from your smartphone
3️⃣ One v-safe registration is needed for each child
https://t.co/S4ZmF1XMLz https://t.co/qjnsdupWFW",06/24/2021 15:45:00,42,21,79,3,True
17,1408065058500792338,CDCGov,"RT @CDCDirector: #ICYMI: Vaccination, variants and where we are with #COVID19- @LesterHoltNBC and I covered it all during this week’s #MIHe…",06/24/2021 14:10:45,30,0,0,0,False
18,1407805920113999873,CDCGov,"Overall, trends in #COVID19 cases continue to improve across the United States. The 7-day average of daily new cases is 11,282, down 7.1% from the week before. Get vaccinated as soon as you can to protect yourself &amp; your community. More data: https://t.co/gp6X4zTnBT. https://t.co/6nf8lJsDsr",06/23/2021 21:01:01,151,59,342,19,True
19,1407781251075903489,CDCGov,Get a #COVID19 vaccine as soon as you can. It’s a way to show love to your neighbors and community and bring us all one step closer to returning to our way of life. More: https://t.co/2MAK2FOA0z. https://t.co/VMndZii3pL,06/23/2021 19:23:00,84,53,194,7,True
20,1407770436381941762,CDCGov,"🧪 COVID-19 Science Update:
 
Read the latest #COVID19 research on vaccine effectiveness in organ transplant recipients, cancer patients, and more.
 
👓 Read the full update: https://t.co/c124k33vpg.",06/23/2021 18:40:01,35,11,106,1,False
21,1407764915662823429,CDCGov,RT @HHSGov: “The #COVID19 vaccine is here to help us. It’s here to save lives.” Clinical pharmacist Chichi Ilonzo Momah considers it an hon…,06/23/2021 18:18:05,47,0,0,0,False
22,1407759620731551747,CDCGov,"Homeless services providers: People experiencing homelessness may be more likely to get severely ill from #COVID19. Learn how to protect adults, children, and teens experiencing homelessness from COVID-19. Learn more: https://t.co/F4AAHnUniE. https://t.co/iK4A27wDJN",06/23/2021 17:57:03,45,12,116,3,True
23,1407749065396338693,CDCGov,Some racial and ethnic minority groups have been extra affected by #COVID19. You can help create a healthier world for all. Get a COVID-19 vaccine as soon as you can. Learn more: https://t.co/yJFqxDIlhb. https://t.co/a5rxivK1j3,06/23/2021 17:15:06,58,26,135,3,True
24,1407738994784456704,CDCGov,"You’re invited to “Motivate to Vaccinate: National Month of Action for #COVID19 Vaccinations,” a webinar on Thursday, June 24, at 1:00pm ET.

Register here: https://t.co/jBRfOhXswk.

@BCAgainstCOVID @VocesenSalud @WeAreUnidosUS @nrc_rim @CHLActionPlan https://t.co/N77OOiW73Q",06/23/2021 16:35:05,48,30,109,13,True
25,1407439513526353923,CDCGov,New: The Nationwide Blood Donor Seroprevalence page on CDC’s COVID Data Tracker shows estimates of the percentage of people with #COVID19 antibodies from a study of blood donors. This can help us understand who is still at risk of infection. See the data: https://t.co/MPPHR69xIq. https://t.co/BZUTQKvHdL,06/22/2021 20:45:03,74,35,156,8,True
26,1407428260670099464,CDCGov,"Join CDC for a webinar, “Motivate to Vaccinate: National Month of Action for #COVID19 Vaccinations,” on Thursday, June 24, at 1:00 pm ET. 

Register here: https://t.co/jBRfOhXswk.

@BCAgainstCOVID @VocesenSalud @WeAreUnidosUS @nrc_rim @CHLActionPlan https://t.co/VgGs8klcgg",06/22/2021 20:00:20,52,42,86,3,True
27,1407416850347081728,CDCGov,"#COVID19 vaccination will help protect you from getting COVID-19. You may have some side effects, like pain or redness where you got the shot, or tiredness. These are normal signs that your body is building protection and should go away within a few days. https://t.co/Sygs9UZVVy https://t.co/vTCqFcS3lm",06/22/2021 19:15:00,109,62,205,7,True
28,1407404789412081667,CDCGov,"Questions about #COVID19 vaccines? We have answers. 

Visit CDC’s COVID-19 Vaccine #FAQ page for accurate and easy-to-find information: https://t.co/y15Q6eYjVI. #SleeveUp https://t.co/iKUJA8OA57",06/22/2021 18:27:04,67,34,89,4,True
29,1407371572600573958,CDCGov,"Explore CDC’s data on pregnant women with COVID-19 and their infants. CDC’s COVID Data Tracker presents data from state &amp; local health departments on trimester of infection, type of delivery, &amp; more. See the data: https://t.co/COP6cIBYcV. https://t.co/ITIGONUzar",06/22/2021 16:15:05,45,9,95,2,True
30,1407343743888506881,CDCGov,"RT @AUCDNews: Join @COVID_19Network @ASTHO and us on 6/29, at 3 pm ET for strategies, lessons learned, and continuing barriers as we work t…",06/22/2021 14:24:30,21,0,0,0,False
