,tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
0,1486821346516557831,CDCGov,"#COVID19 cases are starting to decrease but remain high in most parts of the US. The 7-day average of daily new cases is 596,860, a 19.9% decrease from the previous week. 

Get vaccinated as soon as you can &amp; get a booster shot when you're eligible.

More: https://t.co/t7CFqyVsXN https://t.co/7ALW7sEOQt",01/27/2022 22:00:07,174,144,395,37,True
1,1486798171892236291,CDCGov,"#VaxFact: You should get a #COVID19 vaccine even if you’ve already had COVID-19. 

All COVID-19 vaccines available in the United States are effective at helping prevent COVID-19, even for people who’ve already had it. 

More: https://t.co/x2LfEkflT3. https://t.co/S9OARaq8v4",01/27/2022 20:28:02,115,109,207,15,True
2,1486776056883433478,CDCGov,"Getting vaccinated against #COVID19 means greatly lowering your risk of severe illness and death as well as protecting the people you care about.

Find your vaccine: https://t.co/xbvNiaVJKV. https://t.co/qWm0d9owZe",01/27/2022 19:00:09,176,130,354,18,True
3,1486763711696039937,CDCGov,Learn more about staying up to date on #COVID19 vaccines: https://t.co/009bOeagNG.,01/27/2022 18:11:06,14,15,47,1,False
4,1486763443717910533,CDCGov,"A new investigation finds that prior to the emergence of Omicron, 3 doses of a #COVID19 mRNA vaccine were more protective against COVID-19-associated hospitalization than 2 doses. Protect yourself by staying up to date on your COVID-19 vaccines. More: https://t.co/AVQusK9JE1. https://t.co/bf9hxW8gAo",01/27/2022 18:10:02,209,294,527,25,True
5,1486730812988878861,CDCGov,"Help protect yourself from getting #COVID19, #flu, or both at the same time. Get both your flu shot and your COVID-19 vaccine and booster dose when you’re eligible. To find vaccines near you, go to https://t.co/2akIUZiFIL. https://t.co/lhrOj4KaE9",01/27/2022 16:00:22,70,55,143,9,True
6,1486458955677196291,CDCGov,"As of January 24, 2022, national forecasts predict 4,900–25,600 new #COVID19 deaths will likely be reported during the week ending February 19. More: https://t.co/Jd1A2bjmoy. https://t.co/tR9sY9eJEb",01/26/2022 22:00:06,19,30,42,7,True
7,1486458950853795840,CDCGov,"As of January 24, 2022, national forecasts predict 4,900–27,800 new #COVID19 hospitalizations will likely be reported on February 18. More: https://t.co/Q5hOkQw7H0. https://t.co/dTwkjlOei9",01/26/2022 22:00:05,61,58,106,7,True
8,1486436295941439497,CDCGov,"Parents: Your children count on you to keep them safe and healthy. If you have questions or concerns about your child receiving the #COVID19 vaccine, talk to your healthcare provider. 

Learn more: https://t.co/oV6NgGGUSb. https://t.co/9fqYsdRktj",01/26/2022 20:30:04,95,101,180,13,True
9,1486403068375797762,CDCGov,"Know the difference. Side effects after getting your #COVID19 vaccine are expected and should go away in a few days. Symptoms of COVID-19 are wide-ranging, more severe, and often last weeks but can last months.

Learn more: https://t.co/Sygs9UZVVy. https://t.co/2COicEjbEp",01/26/2022 18:18:02,132,103,211,9,True
