,tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
0,1387161739456823301,CDCGov,"#HCPs: Are your patients asking about the Johnson &amp; Johnson #COVID19 vaccine?

New tools are available to help you answer your patients’ questions. Your strong recommendation can help patients make an informed decision about getting vaccinated.

More: https://t.co/pB3ONoRJZ1. https://t.co/RMtrenzQhE",04/27/2021 21:48:25,136,30,233,22,True
1,1387149605721317377,CDCGov,"#DYK? CDC’s COVID Data Tracker allows you to compare trends in #COVID19 cases and deaths for up to 6 US states, territories, or regions. Learn more about how the pandemic is affecting your state or region through this interactive dashboard: https://t.co/Scwfd7l3S6. https://t.co/3prgfwzUwA",04/27/2021 21:00:12,51,19,92,3,True
2,1387128173318574089,CDCGov,"#COVID19 vaccines play a key role in ending the pandemic and helping us get back to normalcy. 

Millions of people in the U.S. who are fully vaccinated can safely enjoy time together indoors without wearing masks. Learn more: https://t.co/FJMon7WlFO. https://t.co/okW9MuFUhP",04/27/2021 19:35:02,231,242,408,51,True
3,1387110240622088192,CDCGov,"People fully vaccinated against #COVID19 can participate in some indoor events safely, without much risk. Outdoor visits and activities are safer than indoor activities. https://t.co/s5kXwg65fB https://t.co/ZVDpCaQAIO",04/27/2021 18:23:47,534,110,905,178,True
4,1387110237241544706,CDCGov,"When choosing safer activities, consider how #COVID19 is spreading in your community, the number of people participating in the activity, and the location of the activity. https://t.co/s5kXwg65fB https://t.co/TZhssyVGKB",04/27/2021 18:23:46,287,33,524,20,True
5,1387110233483382788,CDCGov,"If you are fully vaccinated against #COVID19, you can start doing many things that you had stopped doing because of the pandemic. If you haven’t been vaccinated yet, get a vaccine as soon as you can. See full details: https://t.co/s5kXwg65fB https://t.co/fvhehUiiCi",04/27/2021 18:23:45,1679,696,2933,475,True
6,1387092951571046407,CDCGov,A new @CDCMMWR reaffirms the Advisory Committee on Immunization Practices (ACIP) recommended use of the Johnson &amp; Johnson #COVID19 Vaccine. ACIP determined that the vaccine’s known and potential benefits outweigh its known and potential risks. More:  https://t.co/JNOVWW1T4b. https://t.co/SpLpQXTh78,04/27/2021 17:15:05,95,31,207,8,True
7,1387077870896418816,CDCGov,"If you have recently traveled, attended a large social gathering, or been in a crowded indoor setting, consider getting tested for #COVID19. 

Learn more about testing: https://t.co/Bhk0Y8ctB8. https://t.co/6J4ig1yh1i",04/27/2021 16:15:09,189,76,298,29,True
8,1387070327885373447,CDCGov,#HCPs: Attend today’s COCA Call at 2pm EDT: Johnson &amp; Johnson/Janssen #COVID19 Vaccine and Thrombosis with Thrombocytopenia Syndrome: Update for Clinicians. Learn more:   https://t.co/nXVim8dUTr. https://t.co/98lXPK2Zxu,04/27/2021 15:45:11,29,4,68,3,True
9,1387062743732301829,CDCGov,Many families’ routines were disrupted this year because of #COVID19– including having regular checkups and receiving recommended vaccinations. National Infant Immunization Week is a great time to ensure your child is up to date. #ivax2protect #NIIW https://t.co/N4EvHmcubn https://t.co/tpDOI8fJ4Z,04/27/2021 15:15:03,120,23,182,8,True
10,1386782407571947522,CDCGov,"#COVID19 vaccines are now more widely accessible.

As of April 26, more than 140 million people in the United States had received at least one dose of COVID-19 vaccine. Of those, more than 95 million are fully vaccinated. 

More: https://t.co/zYLe3H12re. https://t.co/aM4RxhKlLz",04/26/2021 20:41:05,226,72,482,37,True
11,1386772148128206853,CDCGov,"Thank you to healthcare providers and frontline workers across the country for taking extra steps to care for children safely during the #COVID19 pandemic and helping to protect the health of our families and communities. 
#VaccinesWork #NIIW #ivax2protect https://t.co/WMcJec2H5L",04/26/2021 20:00:19,109,29,290,4,True
12,1386759493661437953,CDCGov,"Turning 16 means you can get your license AND your #COVID19 vaccination. Everyone 16 years and older is now eligible to get a COVID19 vaccine.

More: https://t.co/yJFqxDIlhb. https://t.co/m76VEbBfSV",04/26/2021 19:10:02,200,74,461,26,True
13,1386736844373696514,CDCGov,"#HCPs: Want to know more about Johnson &amp; Johnson/Janssen #COVID19 Vaccine and Thrombosis with Thrombocytopenia Syndrome? Attend the COCA Call, Tuesday, April 27, at 2pm EDT. Learn more: https://t.co/nXVim8dUTr. https://t.co/RIrSun3Qwb",04/26/2021 17:40:02,75,23,93,3,True
14,1386714710742032388,CDCGov,"DYK? If you have symptoms or have been exposed to someone with #COVID19, you can get tested for free. 

To find a free testing site, visit your health department website or the HHS Community-Based Testing Sites webpage: https://t.co/8Yx3XcHCLM. https://t.co/IYeA7LgmzE",04/26/2021 16:12:05,122,36,181,9,True
15,1386707938514022408,CDCGov,"Join today’s CDC #COVID19 Partner Update Call at 3:00 pm EDT, “Keeping up With Critical Diabetes Care and Prevention During COVID-19.” 

Retweet and Register: https://t.co/DgcvyJs75q.  

#Diabetes #COVID19 https://t.co/7SpOYfEfk9",04/26/2021 15:45:10,26,7,54,1,True
16,1386074218102620160,CDCGov,Do your part. #WearAMask 😷 &amp; #SlowTheSpread of #COVID19. Make sure your mask fits snugly against the sides of your face w/ no gaps along the sides or top of the mask. More: https://t.co/rjQXPVBQHe. https://t.co/25B5VlFhE2,04/24/2021 21:47:00,524,309,938,65,True
17,1386059656754253824,CDCGov,"Disruptions from #COVID19 mean too many children have fallen behind on routine vaccinations. Join us for National Infant Immunization Week to help ensure children get caught up—and are protected for in-person learning and play. #IVax2Protect #NIIW
https://t.co/yb1JfK2snJ https://t.co/7u8yrxSRJJ",04/24/2021 20:49:08,93,27,172,10,True
18,1385733195178680320,CDCGov,CDC and @US_FDA lift recommended pause on Johnson &amp; Johnson (Janssen) #COVID19 vaccine use following thorough safety review. See full statement: https://t.co/yTTGfGsgSH https://t.co/1kYETjWUgJ,04/23/2021 23:11:54,395,69,592,79,True
19,1385694025395679235,CDCGov,Subscribe to get CDC’s COVID Data Tracker Weekly Review sent to your inbox every Friday: https://t.co/m5w5IKMJIv.,04/23/2021 20:36:15,14,6,41,0,False
